{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.8, 'reg': 10.0, 'algo': 'parial-order-gromov', 'accuracy_1': 0.6416666666666667, 'f1_macro_1': 0.6509439421703289, 'f1_micro_1': 0.6416666666666667, 'accuracy_3': 0.425, 'f1_macro_3': 0.4300300362464018, 'f1_micro_3': 0.425, 'accuracy_5': 0.425, 'f1_macro_5': 0.4307847331941864, 'f1_micro_5': 0.425, 'accuracy_7': 0.4083333333333333, 'f1_macro_7': 0.3954876965140123, 'f1_micro_7': 0.4083333333333333}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.8, 'reg': 10.0, 'algo': 'parial-order-gromov', 'accuracy_1': 0.65, 'f1_macro_1': 0.6451182279877933, 'f1_micro_1': 0.65, 'accuracy_3': 0.4583333333333333, 'f1_macro_3': 0.442651780287734, 'f1_micro_3': 0.4583333333333333, 'accuracy_5': 0.4666666666666667, 'f1_macro_5': 0.4727379156790922, 'f1_micro_5': 0.4666666666666667, 'accuracy_7': 0.49166666666666664, 'f1_macro_7': 0.49289005341636916, 'f1_micro_7': 0.49166666666666664}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.8, 'reg': 10.0, 'algo': 'parial-order-gromov', 'accuracy_1': 0.725, 'f1_macro_1': 0.7177150605983559, 'f1_micro_1': 0.7250000000000001, 'accuracy_3': 0.575, 'f1_macro_3': 0.5650590710354358, 'f1_micro_3': 0.575, 'accuracy_5': 0.525, 'f1_macro_5': 0.507228519537444, 'f1_micro_5': 0.525, 'accuracy_7': 0.5083333333333333, 'f1_macro_7': 0.4793907375316671, 'f1_micro_7': 0.5083333333333333}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.8, 'reg': 10.0, 'algo': 'parial-order-gromov', 'accuracy_1': 0.625, 'f1_macro_1': 0.6252146287436877, 'f1_micro_1': 0.625, 'accuracy_3': 0.5083333333333333, 'f1_macro_3': 0.5142731926276457, 'f1_micro_3': 0.5083333333333333, 'accuracy_5': 0.44166666666666665, 'f1_macro_5': 0.4211784904842106, 'f1_micro_5': 0.44166666666666665, 'accuracy_7': 0.4, 'f1_macro_7': 0.38928984414278534, 'f1_micro_7': 0.4000000000000001}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.8, 'reg': 100.0, 'algo': 'parial-order-gromov', 'accuracy_1': 0.7333333333333333, 'f1_macro_1': 0.7352086229612467, 'f1_micro_1': 0.7333333333333333, 'accuracy_3': 0.5416666666666666, 'f1_macro_3': 0.5390063344515907, 'f1_micro_3': 0.5416666666666666, 'accuracy_5': 0.45, 'f1_macro_5': 0.4440282109943178, 'f1_micro_5': 0.45, 'accuracy_7': 0.4666666666666667, 'f1_macro_7': 0.4525770617934435, 'f1_micro_7': 0.4666666666666667}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.8, 'reg': 100.0, 'algo': 'parial-order-gromov', 'accuracy_1': 0.65, 'f1_macro_1': 0.6586383774919803, 'f1_micro_1': 0.65, 'accuracy_3': 0.4583333333333333, 'f1_macro_3': 0.44792010775602115, 'f1_micro_3': 0.4583333333333333, 'accuracy_5': 0.5, 'f1_macro_5': 0.4851325187079663, 'f1_micro_5': 0.5, 'accuracy_7': 0.45, 'f1_macro_7': 0.42361513365957587, 'f1_micro_7': 0.45}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.8, 'reg': 100.0, 'algo': 'parial-order-gromov', 'accuracy_1': 0.6, 'f1_macro_1': 0.6118359517720131, 'f1_micro_1': 0.6, 'accuracy_3': 0.425, 'f1_macro_3': 0.4162301689906732, 'f1_micro_3': 0.425, 'accuracy_5': 0.45, 'f1_macro_5': 0.4306370509510232, 'f1_micro_5': 0.45, 'accuracy_7': 0.43333333333333335, 'f1_macro_7': 0.4120832257252783, 'f1_micro_7': 0.43333333333333335}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.8, 'reg': 100.0, 'algo': 'parial-order-gromov', 'accuracy_1': 0.6916666666666667, 'f1_macro_1': 0.6859578544061303, 'f1_micro_1': 0.6916666666666667, 'accuracy_3': 0.4583333333333333, 'f1_macro_3': 0.4537537762680078, 'f1_micro_3': 0.4583333333333333, 'accuracy_5': 0.39166666666666666, 'f1_macro_5': 0.38236724073771544, 'f1_micro_5': 0.39166666666666666, 'accuracy_7': 0.425, 'f1_macro_7': 0.40650988180298525, 'f1_micro_7': 0.425}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.8, 'reg': 100.0, 'algo': 'parial-order-gromov', 'accuracy_1': 0.7, 'f1_macro_1': 0.7083001075747628, 'f1_micro_1': 0.7, 'accuracy_3': 0.45, 'f1_macro_3': 0.44322290906622575, 'f1_micro_3': 0.45, 'accuracy_5': 0.4083333333333333, 'f1_macro_5': 0.40301520959260895, 'f1_micro_5': 0.4083333333333333, 'accuracy_7': 0.4, 'f1_macro_7': 0.38445491945988475, 'f1_micro_7': 0.4000000000000001}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.9, 'reg': 0.1, 'algo': 'parial-order-gromov', 'accuracy_1': 0.4583333333333333, 'f1_macro_1': 0.4668025099172026, 'f1_micro_1': 0.4583333333333333, 'accuracy_3': 0.43333333333333335, 'f1_macro_3': 0.42396602731708405, 'f1_micro_3': 0.43333333333333335, 'accuracy_5': 0.4083333333333333, 'f1_macro_5': 0.39268295477460635, 'f1_micro_5': 0.4083333333333333, 'accuracy_7': 0.30833333333333335, 'f1_macro_7': 0.28814593301435404, 'f1_micro_7': 0.30833333333333335}
